0.84362,1
0.84316,1.2
0.84093,1.4
0.84228,1.6
0.84324,2
0.84001,2.4
0.83986,5
0.8348,10
0.82961,15
0.82493,20
0.82015,25
0.81492,30
0.81023,35
0.80562,40
0.80079,45
0.79594,50
0.7913,55
0.78671,60
0.78194,65
0.77729,70
0.77268,75
0.76813,80
0.76385,85
0.7592,90
0.75482,95
0.75032,100
0.74594,105
0.74148,110
0.73719,115
0.73302,120
0.72862,125
0.72424,130
0.72008,135
0.71578,140
0.71177,145
0.70786,150
0.69942,160
0.69548,165
0.69151,170
0.68328,180
0.67924,185
0.67157,195
0.66365,205
0.6598,210
0.65238,220
0.6447,230
0.63755,240
0.63013,250
0.62308,260
0.61577,270
0.60525,285
0.59853,295
0.5883,310
0.5815,320
0.57154,335
0.5618,350
0.55267,365
0.54313,380
0.5339,395
0.52497,410
0.51338,430
0.50482,445
0.49344,465
0.48282,485
0.4722,505
0.45914,530
0.44903,550
0.43686,575
0.42502,600
0.41369,625
0.40252,650
0.38961,680
0.3791,705
0.36701,735
0.3534,770
0.3422,800
0.32954,835
0.3171,870
0.30361,910
0.29249,945
0.2802,985
0.26708,1030
0.25605,1070
0.24285,1120
0.23145,1165
0.21948,1215
0.20844,1265
0.19689,1320
0.18631,1375
0.17483,1435
0.16426,1495
0.15344,1560
0.14344,1625
0.13336,1695
0.12375,1765
0.11438,1840
0.1053,1920
0.097334,2000
0.089321,2085
0.081947,2175
0.075107,2265
0.068209,2365
0.062473,2465
0.056602,2570
0.051262,2680
0.046425,2790
0.041867,2910
0.037595,3035
0.033519,3165
0.029978,3295
0.026501,3435
0.023297,3585
0.020503,3735
0.018077,3895
0.016173,4060
0.013755,4230
0.011744,4410
0.010443,4600
0.0086167,4795
0.0068527,5000
0.0056214,5210
0.0053256,5430
0.0048025,5665
0.0045794,5905
0.0051784,6155
0.0056712,6415
0.0056435,6690
0.0058993,6975
0.0052951,7270
0.0056443,7580
0.0062057,7900
0.0069489,8235
0.0065298,8585
0.0068419,8950
0.0053383,9330
0.0041882,9725
0.0028604,10140
0.0029239,10570
0.0015441,11020
6.8951e-05,11490
0.00097014,11975
0.0011584,12485
0.0024458,13015
0.0029022,13570
0.0028921,14145
-0.00076929,14745
-0.0019451,15375
-0.003737,16025
-0.0047477,16710
-0.0065195,17420
-0.0067128,18160
-0.0057914,18930
-0.0054102,19735
-0.0061264,20570
-0.0044451,21445
-0.0039306,22360
-0.00096649,23305
-0.00058432,24300
0.0011679,25330
0.0047126,26405
0.0046915,27530
0.0012388,28700
-0.00053855,29915
-0.0011437,31190
-0.0016906,32515
0.001382,33895
-0.00051466,35335
-0.0028616,36835
-0.0026856,38400
-0.0011033,40035
-0.0023294,41735
-0.0052355,43510
-0.0041907,45355
-0.0024476,47285
0.0031499,49295
-0.00013072,51385
-0.0031363,53570
-0.00083859,55845
0.0028155,58220
-0.0010969,60695
-0.0067934,63270
0.0015505,65960
0.00023745,68765
-0.00014614,71685
0.0041842,74730
-0.0036006,77905
-0.00068175,81215
0.00087448,84650
0.0039845,88250
0.0013297,92000
-0.004056,95900
-0.00066715,1e+05
8.4483e-05,1.9965e+05
2.3062e-05,1.997e+05
2.2356e-06,1.9975e+05
2.8239e-05,1.998e+05
-8.1894e-05,1.9985e+05
-2.9887e-05,1.999e+05
-3.8476e-05,1.9995e+05
1.2237e-05,2e+05
