0.81552,1
0.81481,1.2
0.81489,1.4
0.81436,1.6
0.81391,2
0.81418,2.4
0.80926,5
0.80078,10
0.79245,15
0.78456,20
0.77633,25
0.76864,30
0.76068,35
0.75306,40
0.74532,45
0.7377,50
0.73024,55
0.72278,60
0.71547,65
0.70817,70
0.70105,75
0.69418,80
0.68711,85
0.68031,90
0.67312,95
0.66626,100
0.65975,105
0.65319,110
0.64663,115
0.64011,120
0.63381,125
0.62752,130
0.621,135
0.61456,140
0.60858,145
0.60267,150
0.59056,160
0.58478,165
0.5789,170
0.56735,180
0.56155,185
0.55071,195
0.53982,205
0.53447,210
0.52392,220
0.51349,230
0.50347,240
0.49355,250
0.48414,260
0.4747,270
0.46095,285
0.45189,295
0.43868,310
0.43033,320
0.41796,335
0.40578,350
0.39405,365
0.38254,380
0.37163,395
0.36093,410
0.34712,430
0.33717,445
0.32416,465
0.31195,485
0.30007,505
0.28601,530
0.27488,550
0.26213,575
0.24975,600
0.238,625
0.22697,650
0.21415,680
0.20396,705
0.1928,735
0.18046,770
0.17049,800
0.15961,835
0.14958,870
0.13875,910
0.13004,945
0.12074,985
0.11076,1030
0.10293,1070
0.09356,1120
0.085721,1165
0.078119,1215
0.070977,1265
0.063756,1320
0.057498,1375
0.051279,1435
0.045737,1495
0.040356,1560
0.035709,1625
0.030938,1695
0.026844,1765
0.023369,1840
0.019908,1920
0.017244,2000
0.01502,2085
0.013655,2175
0.012143,2265
0.010873,2365
0.0097442,2465
0.0081409,2570
0.0076782,2680
0.0067284,2790
0.00652,2910
0.0058653,3035
0.0048372,3165
0.0043524,3295
0.0031242,3435
0.0020185,3585
0.00096849,3735
0.00026748,3895
-0.00029206,4060
-0.0010653,4230
-0.0013779,4410
-0.0014943,4600
-0.0018273,4795
-0.002445,5000
-0.0034445,5210
-0.0037077,5430
-0.0049848,5665
-0.0063198,5905
-0.0073027,6155
-0.007109,6415
-0.0066221,6690
-0.0061818,6975
-0.0050093,7270
-0.0037556,7580
-0.0039909,7900
-0.0062251,8235
-0.0058601,8585
-0.0066091,8950
-0.0066234,9330
-0.0065297,9725
-0.0064284,10140
-0.0044023,10570
-0.0017576,11020
-0.001304,11490
0.0015237,11975
0.0015057,12485
9.5223e-05,13015
-0.00019456,13570
8.184e-05,14145
-0.0014705,14745
-0.0019865,15375
-0.00056,16025
0.0016384,16710
0.0019229,17420
0.002219,18160
0.0010254,18930
0.0012156,19735
0.00019302,20570
0.0019886,21445
0.0010053,22360
0.0014431,23305
0.0027044,24300
0.00096477,25330
0.0013584,26405
0.0011299,27530
0.0024107,28700
0.0020276,29915
-0.0020733,31190
-0.0011439,32515
-0.0020716,33895
-0.00070811,35335
-0.0013798,36835
-0.00094155,38400
-0.001388,40035
0.00093156,41735
0.0021863,43510
0.00018306,45355
-0.0019715,47285
0.0011218,49295
-0.00054572,51385
-0.0002022,53570
0.0011846,55845
-0.0023636,58220
-0.0032983,60695
-0.002152,63270
-0.00053314,65960
0.00067217,68765
0.0031224,71685
0.0003187,74730
-0.0058584,77905
-0.00093933,81215
-0.0052482,84650
-0.0043229,88250
-0.0028905,92000
-0.0048247,95900
-0.0018298,1e+05
-0.00043795,1.9965e+05
-0.00024255,1.997e+05
-4.3832e-05,1.9975e+05
8.8921e-06,1.998e+05
5.7893e-05,1.9985e+05
8.6167e-05,1.999e+05
0.0002547,1.9995e+05
0.00031668,2e+05
