Jan 20, 2017  02:27:58 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 20.10,   1.36E-008, 
 20.20,   1.29E-008, 
 20.30,   1.12E-008, 
 20.40,   6.05E-009, 
 20.50,   2.95E-009, 
 20.60,   1.66E-009, 
 20.70,   7.49E-010, 
 20.80,   2.79E-010, 
 20.90,   1.50E-010, 
 21.00,   9.87E-011, 
 21.10,   1.19E-010, 
 21.20,   6.23E-011, 
 21.30,   5.18E-011, 
 21.40,   1.06E-010, 
 21.50,   6.86E-011, 
 21.60,   1.67E-010, 
 21.70,   1.97E-010, 
 21.80,   2.04E-010, 
 21.90,   2.00E-010, 
 22.00,   1.93E-010, 
 22.10,   1.36E-010, 
 22.20,   1.47E-010, 
 22.30,   1.06E-010, 
 22.40,  -6.93E-011, 
 22.50,  -1.84E-010, 
 22.60,  -1.31E-010, 
 22.70,  -1.89E-010, 
 22.80,  -2.56E-010, 
 22.90,  -2.72E-010, 
 23.00,  -1.94E-010, 
 23.10,  -1.18E-010, 
 23.20,  -1.25E-010, 
 23.30,  -1.16E-010, 
 23.40,  -1.58E-010, 
 23.50,  -1.81E-010, 
 23.60,  -1.10E-010, 
 23.70,  -3.78E-011, 
 23.80,   1.91E-010, 
 23.90,   3.33E-010, 
 24.00,   5.24E-010, 
 24.10,   5.84E-010, 
 24.20,   1.02E-009, 
 24.30,   4.57E-010, 
 24.40,   2.63E-010, 
 24.50,   1.84E-010, 
 24.60,   4.61E-010, 
 24.70,   1.51E-009, 
 24.80,   2.38E-009, 
 24.90,   3.33E-009, 
 25.00,   4.07E-009, 
 25.10,   4.59E-009, 
 25.20,   4.70E-009, 
 25.30,   4.52E-009, 
 25.40,   3.44E-009, 
 25.50,   2.79E-009, 
 25.60,   4.02E-009, 
 25.70,   7.50E-009, 
 25.80,   1.33E-008, 
 25.90,   1.98E-008, 
 26.00,   2.32E-008, 
 26.10,   2.52E-008, 
 26.20,   2.42E-008, 
 26.30,   2.24E-008, 
 26.40,   1.43E-008, 
 26.50,   9.74E-009, 
 26.60,   1.21E-008, 
 26.70,   2.28E-008, 
 26.80,   4.12E-008, 
 26.90,   6.32E-008, 
 27.00,   7.70E-008, 
 27.10,   9.74E-008, 
 27.20,   1.36E-007, 
 27.30,   2.34E-007, 
 27.40,   3.99E-007, 
 27.50,   8.72E-007, 
 27.60,   1.99E-006, 
 27.70,   3.75E-006, 
 27.80,   5.67E-006, 
 27.90,   6.96E-006, 
 28.00,   6.79E-006, 
 28.10,   7.20E-006, 
 28.20,   6.10E-006, 
 28.30,   4.94E-006, 
 28.40,   4.83E-007, 
 28.50,   4.63E-008, 
 28.60,   3.65E-008, 
 28.70,   6.11E-008, 
 28.80,   1.02E-007, 
 28.90,   1.34E-007, 
 29.00,   1.37E-007, 
 29.10,   1.44E-007, 
 29.20,   1.24E-007, 
 29.30,   1.06E-007, 
 29.40,   3.40E-008, 
 29.50,   1.15E-008, 
 29.60,   7.77E-009, 
 29.70,   8.54E-009, 
 29.80,   1.18E-008, 
 29.90,   1.63E-008, 
 30.00,   1.88E-008, 
 30.10,   2.06E-008, 
 30.20,   2.12E-008, 
 30.30,   2.22E-008, 
 30.40,   1.90E-008, 
 30.50,   2.39E-008, 
 30.60,   5.30E-008, 
 30.70,   1.22E-007, 
 30.80,   2.02E-007, 
 30.90,   2.67E-007, 
 31.00,   2.69E-007, 
 31.10,   2.88E-007, 
 31.20,   2.62E-007, 
 31.30,   2.64E-007, 
 31.40,   1.42E-007, 
 31.50,   2.05E-007, 
 31.60,   4.52E-007, 
 31.70,   8.24E-007, 
 31.80,   1.25E-006, 
 31.90,   1.47E-006, 
 32.00,   1.44E-006, 
 32.10,   1.44E-006, 
 32.20,   1.27E-006, 
 32.30,   8.98E-007, 
 32.40,   9.94E-008, 
 32.50,   1.73E-008, 
 32.60,   7.97E-009, 
 32.70,   5.08E-009, 
 32.80,   4.11E-009, 
 32.90,   3.90E-009, 
 33.00,   3.75E-009, 
 33.10,   3.77E-009, 
 33.20,   3.71E-009, 
 33.30,   3.41E-009, 
 33.40,   2.65E-009, 
 33.50,   1.96E-009, 
 33.60,   1.74E-009, 
 33.70,   2.12E-009, 
 33.80,   2.99E-009, 
 33.90,   4.26E-009, 
 34.00,   5.02E-009, 
 34.10,   5.50E-009, 
 34.20,   5.32E-009, 
 34.30,   5.09E-009, 
 34.40,   3.29E-009, 
 34.50,   1.73E-009, 
 34.60,   7.75E-010, 
 34.70,   2.03E-010, 
 34.80,   1.63E-010, 
 34.90,   1.48E-010, 
 35.00,   1.79E-010, 
 35.10,  -3.36E-011, 
 35.20,  -1.45E-010, 
 35.30,  -1.48E-010, 
 35.40,  -1.79E-010, 
 35.50,  -9.10E-012, 
 35.60,   7.70E-012, 
 35.70,  -4.41E-011, 
 35.80,   8.12E-011, 
 35.90,   2.37E-010, 
 36.00,   3.41E-010, 
 36.10,   3.88E-010, 
 36.20,   3.15E-010, 
 36.30,   2.24E-010, 
 36.40,  -1.89E-011, 
 36.50,  -1.07E-010, 
 36.60,  -1.55E-010, 
 36.70,  -2.49E-010, 
 36.80,  -1.40E-010, 
 36.90,  -5.18E-011, 
 37.00,  -1.13E-010, 
 37.10,  -1.23E-010, 
 37.20,  -7.07E-011, 
 37.30,  -1.30E-010, 
 37.40,  -7.14E-011, 
 37.50,  -6.79E-011, 
 37.60,  -1.24E-010, 
 37.70,  -1.37E-010, 
 37.80,  -8.12E-011, 
 37.90,  -5.81E-011, 
 38.00,   4.90E-012, 
 38.10,  -6.72E-011, 
 38.20,  -1.12E-011, 
 38.30,   3.43E-011, 
 38.40,   5.88E-011, 
 38.50,   1.54E-011, 
 38.60,   1.41E-010, 
 38.70,   2.37E-010, 
 38.80,   2.80E-010, 
 38.90,   5.95E-010, 
 39.00,   1.25E-009, 
 39.10,   1.37E-009, 
 39.20,   1.97E-009, 
 39.30,   3.18E-009, 
 39.40,   5.40E-009, 
 39.50,   1.12E-008, 
 39.60,   2.66E-008, 
 39.70,   5.60E-008, 
 39.80,   9.53E-008, 
 39.90,   1.11E-007, 
 40.00,   1.15E-007, 
 40.10,   1.11E-007, 
 40.20,   1.00E-007, 
 40.30,   7.07E-008, 
 40.40,   1.95E-008, 
 40.50,   7.42E-009, 
 40.60,   4.15E-009, 
 40.70,   2.89E-009, 
 40.80,   2.59E-009, 
 40.90,   2.81E-009, 
 41.00,   3.06E-009, 
 41.10,   3.38E-009, 
 41.20,   3.36E-009, 
 41.30,   3.30E-009, 
 41.40,   2.63E-009, 
 41.50,   1.71E-009, 
 41.60,   1.56E-009, 
 41.70,   2.01E-009, 
 41.80,   3.19E-009, 
 41.90,   4.85E-009, 
 42.00,   5.90E-009, 
 42.10,   6.62E-009, 
 42.20,   6.76E-009, 
 42.30,   6.82E-009, 
 42.40,   5.26E-009, 
 42.50,   3.50E-009, 
 42.60,   3.52E-009, 
 42.70,   5.27E-009, 
 42.80,   8.80E-009, 
 42.90,   1.39E-008, 
 43.00,   1.69E-008, 
 43.10,   1.85E-008, 
 43.20,   1.81E-008, 
 43.30,   1.75E-008, 
 43.40,   1.23E-008, 
 43.50,   6.91E-009, 
 43.60,   6.09E-009, 
 43.70,   8.21E-009, 
 43.80,   1.30E-008, 
 43.90,   1.94E-008, 
 44.00,   2.24E-008, 
 44.10,   2.41E-008, 
 44.20,   2.29E-008, 
 44.30,   2.20E-008, 
 44.40,   1.43E-008, 
 44.50,   9.25E-009, 
 44.60,   1.16E-008, 
 44.70,   2.17E-008, 
 44.80,   4.15E-008, 
 44.90,   7.02E-008, 
 45.00,   7.98E-008, 
 45.10,   8.42E-008, 
 45.20,   7.86E-008, 
 45.30,   7.41E-008, 
 45.40,   4.75E-008, 
 45.50,   1.66E-008, 
 45.60,   1.02E-008, 
 45.70,   1.17E-008, 
 45.80,   1.83E-008, 
 45.90,   3.07E-008, 
 46.00,   3.84E-008, 
 46.10,   4.05E-008, 
 46.20,   3.96E-008, 
 46.30,   3.68E-008, 
 46.40,   2.81E-008, 
 46.50,   1.14E-008, 
 46.60,   5.20E-009, 
 46.70,   3.10E-009, 
 46.80,   2.36E-009, 
 46.90,   2.25E-009, 
 47.00,   2.29E-009, 
 47.10,   2.46E-009, 
 47.20,   2.47E-009, 
 47.30,   2.27E-009, 
 47.40,   1.93E-009, 
 47.50,   1.19E-009, 
 47.60,   3.75E-010, 
 47.70,   1.88E-010, 
 47.80,   1.36E-010, 
 47.90,   3.71E-011, 
 48.00,   7.56E-011, 
 48.10,   1.10E-010, 
 48.20,   1.11E-010, 
 48.30,   6.30E-011, 
 48.40,   3.92E-011, 
 48.50,   5.04E-011, 
 48.60,   4.41E-011, 
 48.70,  -6.86E-011, 
 48.80,  -6.37E-011, 
 48.90,  -1.07E-010, 
 49.00,  -1.04E-010, 
 49.10,  -8.47E-011, 
 49.20,  -1.21E-010, 
 49.30,   1.68E-011, 
 49.40,  -8.40E-012, 
 49.50,  -1.18E-010, 
 49.60,  -1.55E-010, 
 49.70,  -1.08E-010, 
 49.80,  -1.20E-010, 
 49.90,   4.20E-012, 
 50.00,   5.81E-011, 
 50.10,  -2.87E-011, 
 50.20,   2.10E-012, 
 50.30,   3.78E-011, 
 50.40,   4.27E-011, 
 50.50,  -9.17E-011, 
 50.60,  -1.10E-010, 
 50.70,  -4.55E-011, 
 50.80,  -7.07E-011, 
 50.90,   3.01E-011, 
 51.00,   6.09E-011, 
 51.10,   1.12E-010, 
 51.20,   1.37E-010, 
 51.30,   1.37E-010, 
 51.40,   1.40E-012, 
 51.50,  -1.75E-011, 
 51.60,  -1.20E-010, 
 51.70,  -1.81E-010, 
 51.80,  -1.00E-010, 
 51.90,   3.57E-011, 
 52.00,   1.89E-011, 
 52.10,  -9.80E-012, 
 52.20,  -5.60E-011, 
 52.30,  -5.67E-011, 
 52.40,  -1.08E-010, 
 52.50,  -9.10E-012, 
 52.60,  -1.40E-012, 
 52.70,  -5.46E-011, 
 52.80,  -8.26E-011, 
 52.90,  -1.35E-010, 
 53.00,  -1.22E-010, 
 53.10,  -2.09E-010, 
 53.20,  -1.22E-010, 
 53.30,  -6.16E-011, 
 53.40,   1.02E-010, 
 53.50,   8.47E-011, 
 53.60,  -1.02E-010, 
 53.70,  -6.86E-011, 
 53.80,  -2.94E-011, 
 53.90,   2.73E-011, 
 54.00,   1.06E-010, 
 54.10,   1.07E-010, 
 54.20,   9.31E-011, 
 54.30,   7.14E-011, 
 54.40,   4.76E-011, 
 54.50,   6.93E-011, 
 54.60,   5.11E-011, 
 54.70,   7.77E-011, 
 54.80,   1.02E-010, 
 54.90,   2.09E-010, 
 55.00,   2.74E-010, 
 55.10,   3.73E-010, 
 55.20,   4.89E-010, 
 55.30,   4.54E-010, 
 55.40,   4.27E-010, 
 55.50,   1.55E-010, 
 55.60,  -1.26E-010, 
 55.70,  -1.40E-010, 
 55.80,  -7.98E-011, 
 55.90,   9.17E-011, 
 56.00,   1.27E-010, 
 56.10,   9.87E-011, 
 56.20,   1.71E-010, 
 56.30,   1.18E-010, 
 56.40,   1.67E-010, 
 56.50,   2.56E-010, 
 56.60,   1.81E-010, 
 56.70,   1.25E-010, 
 56.80,   2.44E-010, 
 56.90,   4.22E-010, 
 57.00,   4.40E-010, 
 57.10,   4.82E-010, 
 57.20,   5.75E-010, 
 57.30,   8.66E-010, 
 57.40,   8.27E-010, 
 57.50,   3.21E-010, 
 57.60,   2.00E-010, 
 57.70,   1.61E-010, 
 57.80,   1.67E-010, 
 57.90,   1.45E-010, 
 58.00,   1.73E-010, 
 58.10,   1.81E-010, 
 58.20,   2.39E-010, 
 58.30,   2.22E-010, 
 58.40,   1.03E-010, 
 58.50,   3.85E-011, 
 58.60,   3.64E-011, 
 58.70,   4.76E-011, 
 58.80,   1.40E-011, 
 58.90,  -1.12E-011, 
 59.00,  -5.39E-011, 
 59.10,  -6.30E-012, 
 59.20,  -7.28E-011, 
 59.30,  -1.20E-010, 
 59.40,  -5.39E-011, 
 59.50,   3.50E-012, 
 59.60,   8.75E-011, 
 59.70,   5.88E-011, 
 59.80,  -2.10E-012, 
 59.90,   2.59E-011, 
 60.00,   1.19E-011, 
 60.10,  -4.20E-011, 
 60.20,  -3.64E-011, 
 60.30,  -4.27E-011, 
 60.40,  -2.94E-011, 
 60.50,  -2.17E-011, 
 60.60,  -4.13E-011, 
 60.70,   2.52E-011, 
 60.80,   1.25E-010, 
 60.90,   1.35E-010, 
 61.00,   3.71E-011, 
 61.10,  -6.30E-012, 
 61.20,  -2.80E-011, 
 61.30,  -7.56E-011, 
 61.40,  -6.58E-011, 
 61.50,   2.10E-012, 
 61.60,   6.16E-011, 
 61.70,  -3.50E-011, 
 61.80,  -2.73E-011, 
 61.90,   3.50E-012, 
 62.00,  -2.10E-011, 
 62.10,  -7.00E-012, 
 62.20,  -4.69E-011, 
 62.30,  -4.83E-011, 
 62.40,  -1.08E-010, 
 62.50,  -1.05E-010, 
 62.60,  -7.84E-011, 
 62.70,  -1.90E-010, 
 62.80,  -1.85E-010, 
 62.90,  -1.79E-010, 
 63.00,  -1.69E-010, 
 63.10,  -1.25E-010, 
 63.20,   5.46E-011, 
 63.30,   4.90E-012, 
 63.40,   6.09E-011, 
 63.50,   7.21E-011, 
 63.60,   3.99E-011, 
