Jan 18, 2017  02:06:35 PM
Residual Gas Analyzer Software 
Software Version, 3.216.001

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 20.00,   1.96E-010, 
 20.10,   3.03E-010, 
 20.20,   2.44E-010, 
 20.30,   2.38E-010, 
 20.40,   1.15E-010, 
 20.50,  -3.50E-012, 
 20.60,  -3.08E-011, 
 20.70,   6.30E-011, 
 20.80,   6.79E-011, 
 20.90,   7.63E-011, 
 21.00,   3.29E-011, 
 21.10,  -6.23E-011, 
 21.20,  -1.75E-011, 
 21.30,   2.24E-011, 
 21.40,   6.65E-011, 
 21.50,   1.96E-011, 
 21.60,  -3.78E-011, 
 21.70,   7.00E-013, 
 21.80,  -3.50E-011, 
 21.90,  -4.41E-011, 
 22.00,   2.10E-012, 
 22.10,  -9.31E-011, 
 22.20,  -1.15E-010, 
 22.30,  -1.13E-010, 
 22.40,  -9.52E-011, 
 22.50,  -8.40E-011, 
 22.60,  -7.00E-011, 
 22.70,  -7.07E-011, 
 22.80,   0.00E+000, 
 22.90,  -6.44E-011, 
 23.00,  -9.31E-011, 
 23.10,  -1.19E-011, 
 23.20,  -4.76E-011, 
 23.30,   1.76E-010, 
 23.40,   2.07E-010, 
 23.50,   1.55E-010, 
 23.60,   3.78E-011, 
 23.70,   6.23E-011, 
 23.80,   1.96E-011, 
 23.90,   1.33E-011, 
 24.00,   3.29E-011, 
 24.10,   1.08E-010, 
 24.20,   1.72E-010, 
 24.30,   9.94E-011, 
 24.40,   7.14E-011, 
 24.50,   9.80E-011, 
 24.60,  -6.30E-012, 
 24.70,  -1.05E-011, 
 24.80,   7.07E-011, 
 24.90,   1.77E-010, 
 25.00,   2.63E-010, 
 25.10,   2.74E-010, 
 25.20,   2.52E-010, 
 25.30,   2.26E-010, 
 25.40,   2.95E-010, 
 25.50,   2.49E-010, 
 25.60,   1.58E-010, 
 25.70,   1.64E-010, 
 25.80,   3.22E-010, 
 25.90,   4.51E-010, 
 26.00,   7.09E-010, 
 26.10,   8.03E-010, 
 26.20,   8.49E-010, 
 26.30,   8.57E-010, 
 26.40,   8.70E-010, 
 26.50,   6.43E-010, 
 26.60,   4.65E-010, 
 26.70,   4.87E-010, 
 26.80,   8.03E-010, 
 26.90,   1.80E-009, 
 27.00,   2.31E-009, 
 27.10,   2.69E-009, 
 27.20,   2.89E-009, 
 27.30,   2.82E-009, 
 27.40,   2.63E-009, 
 27.50,   2.08E-009, 
 27.60,   1.63E-009, 
 27.70,   2.01E-009, 
 27.80,   3.63E-009, 
 27.90,   5.67E-009, 
 28.00,   7.88E-009, 
 28.10,   9.32E-009, 
 28.20,   1.01E-008, 
 28.30,   9.84E-009, 
 28.40,   8.71E-009, 
 28.50,   5.36E-009, 
 28.60,   2.83E-009, 
 28.70,   1.84E-009, 
 28.80,   1.81E-009, 
 28.90,   2.19E-009, 
 29.00,   2.77E-009, 
 29.10,   3.21E-009, 
 29.20,   3.44E-009, 
 29.30,   3.49E-009, 
 29.40,   3.23E-009, 
 29.50,   2.21E-009, 
 29.60,   1.14E-009, 
 29.70,   5.80E-010, 
 29.80,   4.78E-010, 
 29.90,   4.85E-010, 
 30.00,   5.99E-010, 
 30.10,   6.85E-010, 
 30.20,   7.07E-010, 
 30.30,   6.41E-010, 
 30.40,   6.46E-010, 
 30.50,   5.04E-010, 
 30.60,   4.03E-010, 
 30.70,   2.49E-010, 
 30.80,   2.95E-010, 
 30.90,   3.59E-010, 
 31.00,   4.66E-010, 
 31.10,   5.26E-010, 
 31.20,   5.74E-010, 
 31.30,   6.95E-010, 
 31.40,   6.23E-010, 
 31.50,   5.67E-010, 
 31.60,   5.48E-010, 
 31.70,   5.26E-010, 
 31.80,   9.01E-010, 
 31.90,   1.68E-009, 
 32.00,   2.03E-009, 
 32.10,   2.40E-009, 
 32.20,   2.63E-009, 
 32.30,   2.59E-009, 
 32.40,   2.38E-009, 
 32.50,   1.62E-009, 
 32.60,   5.88E-010, 
 32.70,   3.45E-010, 
 32.80,   2.51E-010, 
 32.90,   2.61E-010, 
 33.00,   2.37E-010, 
 33.10,   3.47E-010, 
 33.20,   2.87E-010, 
 33.30,   2.93E-010, 
 33.40,   1.88E-010, 
 33.50,   1.29E-010, 
 33.60,   8.75E-011, 
 33.70,   8.61E-011, 
 33.80,   7.63E-011, 
 33.90,   9.17E-011, 
 34.00,   8.75E-011, 
 34.10,   1.19E-010, 
 34.20,   2.32E-010, 
 34.30,   3.78E-010, 
 34.40,   3.97E-010, 
 34.50,   2.65E-010, 
 34.60,   1.35E-010, 
 34.70,   1.38E-010, 
 34.80,   7.70E-011, 
 34.90,   1.56E-010, 
 35.00,   1.24E-010, 
 35.10,   4.41E-011, 
 35.20,   3.99E-011, 
 35.30,   9.24E-011, 
 35.40,   1.44E-010, 
 35.50,   6.65E-011, 
 35.60,   5.32E-011, 
 35.70,   1.01E-010, 
 35.80,   9.59E-011, 
 35.90,   2.11E-010, 
 36.00,   2.35E-010, 
 36.10,   3.03E-010, 
 36.20,   4.06E-010, 
 36.30,   4.05E-010, 
 36.40,   4.24E-010, 
 36.50,   4.53E-010, 
 36.60,   3.74E-010, 
 36.70,   1.94E-010, 
 36.80,   1.90E-010, 
 36.90,   2.54E-010, 
 37.00,   3.34E-010, 
 37.10,   3.93E-010, 
 37.20,   4.28E-010, 
 37.30,   4.01E-010, 
 37.40,   4.31E-010, 
 37.50,   2.51E-010, 
 37.60,   2.04E-010, 
 37.70,   2.58E-010, 
 37.80,   3.11E-010, 
 37.90,   3.86E-010, 
 38.00,   4.32E-010, 
 38.10,   4.94E-010, 
 38.20,   4.96E-010, 
 38.30,   5.67E-010, 
 38.40,   6.20E-010, 
 38.50,   5.71E-010, 
 38.60,   4.38E-010, 
 38.70,   3.73E-010, 
 38.80,   4.57E-010, 
 38.90,   8.68E-010, 
 39.00,   1.64E-009, 
 39.10,   1.98E-009, 
 39.20,   2.25E-009, 
 39.30,   2.37E-009, 
 39.40,   2.31E-009, 
 39.50,   1.96E-009, 
 39.60,   1.15E-009, 
 39.70,   5.42E-010, 
 39.80,   5.48E-010, 
 39.90,   7.37E-010, 
 40.00,   8.00E-010, 
 40.10,   8.14E-010, 
 40.20,   8.95E-010, 
 40.30,   9.14E-010, 
 40.40,   8.28E-010, 
 40.50,   8.51E-010, 
 40.60,   7.30E-010, 
 40.70,   7.99E-010, 
 40.80,   1.13E-009, 
 40.90,   1.83E-009, 
 41.00,   2.50E-009, 
 41.10,   3.39E-009, 
 41.20,   4.03E-009, 
 41.30,   4.43E-009, 
 41.40,   4.28E-009, 
 41.50,   3.85E-009, 
 41.60,   2.59E-009, 
 41.70,   1.52E-009, 
 41.80,   7.82E-010, 
 41.90,   8.78E-010, 
 42.00,   9.87E-010, 
 42.10,   1.54E-009, 
 42.20,   1.67E-009, 
 42.30,   1.83E-009, 
 42.40,   1.73E-009, 
 42.50,   1.55E-009, 
 42.60,   9.47E-010, 
 42.70,   6.61E-010, 
 42.80,   8.14E-010, 
 42.90,   1.55E-009, 
 43.00,   2.23E-009, 
 43.10,   2.97E-009, 
 43.20,   3.53E-009, 
 43.30,   3.94E-009, 
 43.40,   3.94E-009, 
 43.50,   3.60E-009, 
 43.60,   2.46E-009, 
 43.70,   1.69E-009, 
 43.80,   1.48E-009, 
 43.90,   1.94E-009, 
 44.00,   2.64E-009, 
 44.10,   3.34E-009, 
 44.20,   3.73E-009, 
 44.30,   3.94E-009, 
 44.40,   3.72E-009, 
 44.50,   3.06E-009, 
 44.60,   1.87E-009, 
 44.70,   1.03E-009, 
 44.80,   5.98E-010, 
 44.90,   7.74E-010, 
 45.00,   9.33E-010, 
 45.10,   1.35E-009, 
 45.20,   1.46E-009, 
 45.30,   1.62E-009, 
 45.40,   1.60E-009, 
 45.50,   1.49E-009, 
 45.60,   8.00E-010, 
 45.70,   5.61E-010, 
 45.80,   4.50E-010, 
 45.90,   4.33E-010, 
 46.00,   3.79E-010, 
 46.10,   4.50E-010, 
 46.20,   4.34E-010, 
 46.30,   4.47E-010, 
 46.40,   4.44E-010, 
 46.50,   4.30E-010, 
 46.60,   4.08E-010, 
 46.70,   1.80E-010, 
 46.80,   2.04E-010, 
 46.90,   1.93E-010, 
 47.00,   2.32E-010, 
 47.10,   2.61E-010, 
 47.20,   2.84E-010, 
 47.30,   3.33E-010, 
 47.40,   3.72E-010, 
 47.50,   3.99E-010, 
 47.60,   3.07E-010, 
 47.70,   2.72E-010, 
 47.80,   2.65E-010, 
 47.90,   2.81E-010, 
 48.00,   4.10E-010, 
 48.10,   4.68E-010, 
 48.20,   2.74E-010, 
 48.30,   2.96E-010, 
 48.40,   3.95E-010, 
 48.50,   4.10E-010, 
 48.60,   4.01E-010, 
 48.70,   3.28E-010, 
 48.80,   2.65E-010, 
 48.90,   3.02E-010, 
 49.00,   3.03E-010, 
 49.10,   3.51E-010, 
 49.20,   3.33E-010, 
 49.30,   2.65E-010, 
 49.40,   2.39E-010, 
 49.50,   3.84E-010, 
 49.60,   3.38E-010, 
 49.70,   2.59E-010, 
 49.80,   3.15E-010, 
 49.90,   5.36E-010, 
 50.00,   7.07E-010, 
 50.10,   8.42E-010, 
 50.20,   1.29E-009, 
 50.30,   1.32E-009, 
 50.40,   1.23E-009, 
 50.50,   8.75E-010, 
 50.60,   7.03E-010, 
 50.70,   5.92E-010, 
 50.80,   4.67E-010, 
 50.90,   4.57E-010, 
 51.00,   6.13E-010, 
 51.10,   6.65E-010, 
 51.20,   7.22E-010, 
 51.30,   7.98E-010, 
 51.40,   8.10E-010, 
 51.50,   7.87E-010, 
 51.60,   6.97E-010, 
 51.70,   4.88E-010, 
 51.80,   4.12E-010, 
 51.90,   4.39E-010, 
 52.00,   4.30E-010, 
 52.10,   3.11E-010, 
 52.20,   4.01E-010, 
 52.30,   5.04E-010, 
 52.40,   5.24E-010, 
 52.50,   4.92E-010, 
 52.60,   3.68E-010, 
 52.70,   3.15E-010, 
 52.80,   3.02E-010, 
 52.90,   3.16E-010, 
 53.00,   4.51E-010, 
 53.10,   5.29E-010, 
 53.20,   5.59E-010, 
 53.30,   6.08E-010, 
 53.40,   6.81E-010, 
 53.50,   6.70E-010, 
 53.60,   6.32E-010, 
 53.70,   4.87E-010, 
 53.80,   3.83E-010, 
 53.90,   3.96E-010, 
 54.00,   3.99E-010, 
 54.10,   4.60E-010, 
 54.20,   5.25E-010, 
 54.30,   5.34E-010, 
 54.40,   5.82E-010, 
 54.50,   6.59E-010, 
 54.60,   6.72E-010, 
 54.70,   6.34E-010, 
 54.80,   5.83E-010, 
 54.90,   7.10E-010, 
 55.00,   1.24E-009, 
 55.10,   1.68E-009, 
 55.20,   1.93E-009, 
 55.30,   2.15E-009, 
 55.40,   2.33E-009, 
 55.50,   2.29E-009, 
 55.60,   2.25E-009, 
 55.70,   1.58E-009, 
 55.80,   8.40E-010, 
 55.90,   6.81E-010, 
 56.00,   7.74E-010, 
 56.10,   9.57E-010, 
 56.20,   1.53E-009, 
 56.30,   1.59E-009, 
 56.40,   1.68E-009, 
 56.50,   1.61E-009, 
 56.60,   1.53E-009, 
 56.70,   1.23E-009, 
 56.80,   6.88E-010, 
 56.90,   8.69E-010, 
 57.00,   1.33E-009, 
 57.10,   1.78E-009, 
 57.20,   2.33E-009, 
 57.30,   2.90E-009, 
 57.40,   3.27E-009, 
 57.50,   3.16E-009, 
 57.60,   2.82E-009, 
 57.70,   1.92E-009, 
 57.80,   1.13E-009, 
 57.90,   5.42E-010, 
 58.00,   5.35E-010, 
 58.10,   5.50E-010, 
 58.20,   6.27E-010, 
 58.30,   6.96E-010, 
 58.40,   7.45E-010, 
 58.50,   6.60E-010, 
 58.60,   6.09E-010, 
 58.70,   5.45E-010, 
 58.80,   4.85E-010, 
 58.90,   5.19E-010, 
 59.00,   4.22E-010, 
 59.10,   4.03E-010, 
 59.20,   4.50E-010, 
 59.30,   5.40E-010, 
 59.40,   5.74E-010, 
 59.50,   5.01E-010, 
 59.60,   5.30E-010, 
 59.70,   5.03E-010, 
 59.80,   4.45E-010, 
 59.90,   3.55E-010, 
 60.00,   4.57E-010, 
 60.10,   4.99E-010, 
 60.20,   5.99E-010, 
 60.30,   6.94E-010, 
 60.40,   7.93E-010, 
 60.50,   9.03E-010, 
 60.60,   9.18E-010, 
 60.70,   7.36E-010, 
 60.80,   5.82E-010, 
 60.90,   4.42E-010, 
 61.00,   3.67E-010, 
 61.10,   4.04E-010, 
 61.20,   3.71E-010, 
 61.30,   3.87E-010, 
 61.40,   4.63E-010, 
 61.50,   5.02E-010, 
 61.60,   5.50E-010, 
 61.70,   4.74E-010, 
 61.80,   4.46E-010, 
 61.90,   4.39E-010, 
 62.00,   4.22E-010, 
 62.10,   3.42E-010, 
 62.20,   2.40E-010, 
 62.30,   2.12E-010, 
 62.40,   4.05E-010, 
 62.50,   3.96E-010, 
 62.60,   2.96E-010, 
 62.70,   3.75E-010, 
 62.80,   4.08E-010, 
 62.90,   5.41E-010, 
 63.00,   5.56E-010, 
 63.10,   5.77E-010, 
 63.20,   6.03E-010, 
 63.30,   5.82E-010, 
 63.40,   5.58E-010, 
 63.50,   5.18E-010, 
 63.60,   4.91E-010, 
 63.70,   4.25E-010, 
 63.80,   4.00E-010, 
 63.90,   4.37E-010, 
 64.00,   4.55E-010, 
 64.10,   5.16E-010, 
 64.20,   5.97E-010, 
 64.30,   6.25E-010, 
 64.40,   5.60E-010, 
 64.50,   4.73E-010, 
 64.60,   4.82E-010, 
 64.70,   3.98E-010, 
 64.80,   3.45E-010, 
 64.90,   4.67E-010, 
 65.00,   4.72E-010, 
